Contestant,Question,Label
Jeff Birt,"Which of these well-known singers was most commonly referred to as the ""hardest working man in show business""?",wh-subject
Jeff Birt,"""The Moneypenny Diaries"" is a series of novels about a personal secretary who works with what fictional character?",in-situ
Jeff Birt,"The L-shaped device known as a ""croupier's rake"" is designed to move what?",in-situ
Jeff Birt,"In April 2009, the U.S. Navy rescued Capt. Richard Phillips of the Maersk Alabama from pirates off the coast of what nation?",in-situ
Jeff Birt,"The musical duo 3OH!3 takes its name from the area code where the group first formed, encompassing what U.S. City?",in-situ
Jeff Birt,"Which of these snack foods are common examples of hyberbolic paraboloids, a type of mathematical shape?",wh-subject
Jeff Birt,"Like Barack Obama, which of these men was elected president while he was a sitting U.S. Senator?",wh-subject
Jeff Birt,Approximately how many social security numbers have been issued since the first one was assigned in 1936?,wh-subject
Jeff Birt,"""Nephelococcygia"" is the practice of doing what?",in-situ
Jeff Briggs,"According to a common myth, you can hear the ocean if you hold what up to your ear?",in-situ
Jeff Briggs,"When used as a verb, the name of which of these tools means “to dismiss a job”?",wh-subject
Jeff Briggs,The Guinness World Records for “Largest Cowboy Boots” is held by a pair of size 328-Ds aptly located where?,in-situ
Jeff Briggs,"In the 1990’s, what corporate giant replaced live animals with crash dummies in its product tests?",wh-subject
Jeff Briggs,"According to the title of her show, what popular ‘90s TV character is a “Warrior Princess”?",wh-subject
Jeff Briggs,Which of the following refers to a style of eating in which patrons share large dishes of food?,wh-subject
Jeff Briggs,Which of these ailments is often classified as a soft tissue cervical hyperextension injury?,wh-subject
Jeff Briggs,Which of these historic American battles occurred first chronologically?,wh-subject
Jeff Briggs,"In 2006, what country’s president met with her “twin,” Conan O’Brien, after he jokingly endorsed her reelection?",in-situ
Jeff Briggs,The popular “Sudoku” puzzles take their name from a Japanese phrase that loosely translates to “the digits must” do what?,in-situ
Jeff Burleson,"Which of the following is awarded by the Wilderness Explorers in the film ""Up"" and is not an actual Boy Scouts of America merit badge?",wh-subject
Jeff Burleson,"Due to unique genetic characteristics, men are more likely than women to be what?",in-situ
Jeff Burleson,"If the Roman emperor Caligula were known by the English meaning of his name, he would be called what?",in-situ
Jeff Burleson,"A sort of Benjamin Button of the sea, the adult Turritopsis nutricula, or ""Immortal Jellyfish,"" is the only known animal capable of doing what?",in-situ
Jeff Burleson,"In 2011, Facebook would not allow users to list which of the following real locations as their hometown?",in-situ
Jeff Burleson,"Thanks to the UK's Police Pagan Association, officers who worship heathen gods are now given eight annual holidays, including what?",in-situ
Jeff Burleson,Which of the following is the name of a popular clothing line and not a feature that infants lose as they grow?,wh-subject
Jeff Burleson,"In the classic board game ""Battleship,"" how many hits would it take to completely sink all 5 of your opponent's ships?",ex-situ
Jeff Burleson,"Though it is now used to describe any type of enthusiast, the word ""aficionado"" originally referred to lovers of what?",in-situ
Jeff Burleson,"Also known as ""white line fever,"" people who fall victim to what trance-like state often forget large chunks of time?",in-situ
Jeff Burleson,"In 1914, what forward-thinking inventor noted that environmental factors would lead to a ""sort of greenhouse effect""?",wh-subject
Jeff Cavaliere,"In 2003, who did the American Film Institute select as the top movie villian of all time?",ex-situ
Jeff Cavaliere,The fast-moving sport of jai alai orginated on Stone courtyards in which of these countries?,in-situ
Jeff Cavaliere,"With about 4 persons per square mile, what is the most sparsely populated country on earth?",wh-subject
Jeff Cavaliere,What is the approximate speed of sound at sea level?,wh-subject
Jeff Cavaliere,"Which of these words begins with a consonant sound that linguists refer to as a ""voiceless glottal fricative""?",wh-subject
Jeff Donn,"In humans, pregnancy is usually divided into three periods called what?",in-situ
Jeff Donn,A dune buggy is a vehicle with oversized tires specially designed to help it travel on what?,in-situ
Jeff Donn,"In 1866, Tennessee's Jack Daniel perfected his charcoal mellowing process to produce what kind of beverage?",in-situ
Jeff Donn,"By definition, wanderlust is an insatiable impulse to do what?",in-situ
Jeff Donn,"What city's Disneyland opened its doors on September 12, 2005, a date chosen by a feng shui master?",in-situ
Jeff Donn,"In 1986, over 5 million Americans joined together to help the homeless in a famous charity event named what?",in-situ
Jeff Donn,Which of these shoe names is an example of the literary device onomatopoeia?,wh-subject
Jeff Donn,"According to its full name, which of these U.S. ""states"" is actually a commonwealth?",wh-subject
Jeff Donn,What successful tech company was founded in 1984 by a college student in his University of Texas dorm room?,wh-subject
Jeff Fisher,The phrase to describe the ritual of vacationing college students is called Spring what?,in-situ
Jeff Fisher,Which of the following is a popular phrase describing a place where you can buy used goods and knickknacks?,wh-subject
Jeff Fisher,"If you are standing at home plate in a baseball stadium, what shape does the infield resemble?",ex-situ
Jeff Fisher,Which camera lens has the greatest ability to magnify distant objects?,wh-subject
Jeff Fisher,"What gas is primarily responsible for the ""greenhouse effect""?",wh-subject
Jeff Fisher,"According to the title of a 1980 movie, where was Brooke Shields's character shipwrecked?",ex-situ
Jeff Fisher,"In the short story ""The Gift of the Magi"", what does Della sell to buy her husband a watch chain?",ex-situ
Jeff Fisher,Which of these artists was born Dana Owens?,wh-subject
Jeff Gardner,"In human, which of the following is not considered a sense organ?",wh-subject
Jeff Gardner,What does the 'C' stand for in YMCA?,ex-situ
Jeff Gardner,"Who played the title character in the 1972 movie ""The Godfather""?",wh-subject
Jeff Gardner,"The words 'the', 'an', and 'a' are considered what parts of speech?",in-situ
Jeff Gardner,Which of the following spices is traditionally found in eggnog?,wh-subject
Jeff Gardner,"The stories on TV's ""Magnum, P.I."" usually took place in what state?",in-situ
Jeff Gardner,What is the common name for the aurora borealis?,wh-subject
Jeff Gardner,"In the novel of the same name, what letter of the alphabet was ""The Scarlet Letter""?",wh-subject
Jeff Gardner,The soles of what athletic shoe were first made by pouring liquid rubber into a home waffle iron?,in-situ
Jeff Gordon,"In sports lingo, a team with a good “D” has a good what?",in-situ
Jeff Gordon,Which of these adjectives is most likely to describe a polar climate?,wh-subject
Jeff Gordon,Which of these sports is most likely to be played on AstroTurf?,wh-subject
Jeff Gordon,Which of the following is a term for an area of rapid growth and development?,wh-subject
Jeff Gordon,Khaki is a color that most resembles which of the following?,in-situ
Jeff Gordon,Which of these weight training exercises would a person normally perform while lying on his back?,ex-situ
Jeff Gordon,Which of the following is a microorganism?,wh-subject
Jeff Gordon,"""The Brickyard"" is the nickname for what famous  sporting venue?",in-situ
Jeff Gordon,A parapsychologist is most likely to study which of  these subjects?,in-situ
Jeff Gordon,What NHL team did Mark Messier lead to the championship in 1994 and rejoin in 2000?,ex-situ
Jeff Gordon,"On the TV series ""The Simpsons,"" Apu is the clerk at what convenience store?",in-situ
Jeff Gordon,Which of these musicians was an amateur boxer before hitting it big as an entertainer?,wh-subject
Jeff Greenstein,"According to Cher, “Men should be like” what because they’re “soft, strong and disposable”?",in-situ
Jeff Greenstein,A famous quote from Alexander Pope can be created by adding the word “eternal” to which of these 2012 film titles?,in-situ
Jeff Greenstein,Which of the following celebrities has never worked as a cheerleader for a professional sports team?,wh-subject
Jeff Greenstein,"Inspired by a Colorado town, which of the following is a verb that means to become a tourist destination at the risk of alienating local residents?",wh-subject
Jeff Greenstein,"Because of their impressive fuel-efficiency, a type of compact car produced in Germany has what intelligent name?",in-situ
Jeff Greenstein,Ronzoni is a supermarket brand that promotes its products with a “deliciously entertaining cooking diva” named what?,in-situ
Jeff Greenstein,"Commonly referred to as a “forty,” what would the same-sized bottle of malt liquor be called if converted to milliliters?",ex-situ
Jeff Greenstein,"Coincidentally, U.S. Supreme Court Chief Justice Earl Warren was replaced in 1969 by a Chief Justice with what full name?",in-situ
Jeff Greenstein,"Though each of the following could be used as a ‘man cave,” which room in the house actually takes its name, in part, from an early Dutch word for “cave”?",wh-subject
Jeff Greenstein,"By targeting brown pigment with his laser, a Laguna Beach, CA doctor recently developed technology that gives people what?",in-situ
Jeff Greenstein,"Although it sounds like a mythical place to find single guys, the Isle of Man is actually a self-governing dependency located off the coast of what?",in-situ
Jeff Grizer,"Which of the following does not have a ""tongue""?",wh-subject
Jeff Grizer,Which of the following is the proper name for an adult male deer?,wh-subject
Jeff Grizer,Which of the following is not a part of the aircraft known as a glider?,wh-subject
Jeff Grizer,"The letters ""RN"" after a person's name indicate that they are qualified to work in what profession?",in-situ
Jeff Grizer,"On the television show ""Seinfeld"", what was Elaine's last name?",wh-subject
Jeff Grizer,Which one of the following is not a form of fungus?,wh-subject
Jeff Grizer,"In the movie ""The Green Mile"", what is the occupation of Tom Hanks's character?",wh-subject
Jeff Grizer,"In January 2000, who replaced Bill Gates as the CEO of Microsoft?",wh-subject
Jeff Grizer,Which band reported Ticketmaster to the Dept. of Justice in 1994 for monopolizing the ticketing industry?,wh-subject
Jeff Grizer,What runner cheated to win the Boston Marathon by joining the race less than a mile from the finish?,wh-subject
Jeff Grizer,"In what state is the nation's highest ZIP code, 99950, located?",ex-situ
Jeff Grizer,"Besides John F. Kennedy, who is the only other president buried in Arlington National Cemetery?",wh-subject
Jeff Hanger,"According to a common saying, what kind of people “finish last”?",wh-subject
Jeff Hanger,"By definition, a mural is a painting applied directly onto a what?",in-situ
Jeff Hanger,What classic Dr. Seuss book features a persistent creature named Sam-I-am?,wh-subject
Jeff Hanger,"Short for “tarmacadam,” tarmac is a type of surface usually found where?",in-situ
Jeff Hanger,The classic game Boggle features sixteen cubes with what printed on each side?,in-situ
Jeff Hanger,"In Shakespeare’s “Romeo and Juliet,” what does Juliey describe as “such sweet sorrow”?",ex-situ
Jeff Hanger,"In the NBC reality series “The Resturant,” the restaurant specializes in what type of food?",in-situ
Jeff Hanger,"Aleph, beth and gimbal are the first three letters of what alphabet?",in-situ
Jeff Hanger,Bronze is an alloy that is traditionally composed of copper and what other metallic element?,in-situ
Jeff Hanger,"Under the 22nd Amendment, a U.S. president can serve a maximum of how many years?",in-situ
Jeff Hunsicker,What professionals can ask to look at each other’s briefs without getting in trouble?,wh-subject
Jeff Hunsicker,"What Christmas carol’s melody can be traced back to a Welsh song that begins with the lyrics, “Oh! how soft my fair one’s bosom”?",wh-subject
Jeff Hunsicker,"In the 1980s, the IRS manual included a section that outlined how to collect taxes in the event of a what?",in-situ
Jeff Hunsicker,"Although it’s not based on an actual increment of time, to let someone know you’ll b quick, you can use the common phrase “I’ll be back in” what?",in-situ
Jeff Hunsicker,"Using names from its capital city, whose version of Monopoly replaces Park Place with Park Lane, and Reading Railroad with Kings Cross Station?",in-situ
Jeff Hunsicker,"Known for debauchery, which rocker left friends $2,500 in their will, so they could party in their honor with booze and drugs?",wh-subject
Jeff Jones,"In ""Office Space,"" Peter's co-worker Michael admits that his high-tech, get-rich scheme is taken from what movie?",in-situ
Jeff Jones,"In the 1982 movie ""Diner,"" what is the name of the diner where the main characters hang out?",wh-subject
Jeff Mazurak,Czar Peter I of Russia is also known as which of the following?,in-situ
Jeff Mazurak,Which of these articles of clothing is most likely to have a train?,wh-subject
Jeff Mazurak,"According to the advertising slogan, ""There's no wrong way to eat a"" what?",in-situ
Jeff Mazurak,Which of these pieces of equipment will give you the clearest view of a human cell?,wh-subject
Jeff Mazurak,"Which of the following sports holds an annual tournament known as ""March Madness""?",wh-subject
Jeff Mazurak,"What member of Jane Fonda's family starred with her in the film ""On Golden Pond""?",wh-subject
Jeff Mazurak,What term refers to the time it takes for fifty percent of a sample of radioactive material to decay?,wh-subject
Jeff Mazurak,How many units must an album must sell in the U.S. before it is certified gold?,ex-situ
Jeff Mazurak,"What actor narrated the TV series ""The Wonder Years""?",wh-subject
Jeff Mazurak,"In what country were 6,000 life-size clay soldiers called the ""terracotta army"" found?",ex-situ
Jeff Mazurak,What TV journalist's mother is the current U.S. ambassador to the Vatican?,in-situ
Jeff Mazurak,"In Puccini's opera ""La Bohème"", who falls in love with his neighbor Mimi?",wh-subject
Jeff Palmer,"A quote attributed to Einstein claims that ""doing the same thing over and over again and expecting different results"" is the definition of what?",in-situ
Jeff Palmer,"A fable that won a Pulitzer Prize for fiction in 1955, ""A Fable"" was written by what author?",in-situ
Jeff Palmer,"As a member of the Black Eyed Peas, William Adams discards his last name and cleverly adds what punctuation marks to his first?",in-situ
Jeff Palmer,"Perhaps calling into question its user's courage, a sissy bar is an attachment to a what?",in-situ
Jeff Palmer,"A. Amelia Earhart disappeared in 1937 before making it to her destination in Howland Island, which is located in what body of water?",in-situ
Jeff Palmer,A new TLC reality show chronicles the lives of people who go to extremes with what money-saving items?,in-situ
Jeff Palmer,"Returning to college to graduate in 2002, which director submitted his film ""Schindler's List"" to pass his advanced filmmaking class?",wh-subject
Jeff Palmer,"The Oxford Dictionary of English recently added the fashion abbreviation ""LBD,"" which stands for what?",in-situ
Jeff Palmer,"Because it lacks a developed sense of smell, the great horned owl is one of the biggest predators of what animal?",in-situ
Jeff Palmer,"In 2010, British intelligence officers reportedly hacked an Al-Qaeda website and replaced bomb-making instructions with recipes for what?",in-situ
Jeff Parrotte,"A best-selling children's book by the daughter of a 2008 U.S. presidential candidate is titled ""My Dad, John"" who?",in-situ
Jeff Parrotte,"Boasting 2000 watts of power, the Conair Pro Black Bird is a type of what?",in-situ
Jeff Parrotte,Which of these bodily organs is not part of the human digestive system?,wh-subject
Jeff Parrotte,Which of these ocean-dwelling creatures is named for its equine profile?,wh-subject
Jeff Parrotte,Teething is an often painful process typically experienced by children in what age group?,in-situ
Jeff Parrotte,"What ""Hall of fame"" was inducted into the Songwriters Hall of Fame in 2004?",wh-subject
Jeff Parrotte,"The Spanish warning ""Está caliente"" often appears on which of these containers?",in-situ
Jeff Parrotte,"In a 2009 game, Mark Buehrie of the Chicago White Sox became only the eighteenth player in Major League history to do what?",in-situ
Jeff Parrotte,Dilator naris muscles can be flexed in order to perform which of these acts?,in-situ
Jeff Parrotte,"A ""Dunlap Broadside,"" of which only twenty-five known copies exist, is an original printing of the what?",in-situ
Jeff Ross and Sal Iacono,"Staying true to their roots, French chefs broke a world record in 2024 when they made a 461-foot-long what?",in-situ
Jeff Ross and Sal Iacono,Which of these Broadway musicals is about a figure from the Bible?,wh-subject
Jeff Ross and Sal Iacono,"On August 18th, 2023, the New York Times crossword puzzle featured the answer FART for the first time in its history. What was the clue?",in-situ
Jeff Ross and Sal Iacono,"Despite a popular notion that it's drawn to flame, which of these fluttering creatures is not so much drawn toward artificial light as disoriented by it?",wh-subject
Jeff Ross and Sal Iacono,"According to a 2024 film review, what movie has a PG-13 rating for ""brief language and violence and cumulus clouds of ganja""?",wh-subject
Jeff Ross and Sal Iacono,"For its pleasant fragrance and easy-to-decorate branches, the National Christmas Tree Association recommends several species of what tree?",in-situ
Jeff Ross and Sal Iacono,"Added to Oxford Dictionaries in 2014, the infamous selfie pose known as ""duck face"" is characterized by what type of expression?",in-situ
Jeff Ross and Sal Iacono,"What Big Apple landmark sells t-shirts emblazoned with the words ""Practice, Practice, Practice"" -- the punch line to an old joke about the location?",wh-subject
Jeff Ross and Sal Iacono,"Though not mentioned by name, who is the only Brady child specifically referenced in the classic theme song to ""The Brady Bunch""?",wh-subject
Jeff Ross and Sal Iacono,"What esteemed actor went vegan in 1995, after ""having had the privilege of witnessing and experiencing pigs' intelligence"" while on the job?",wh-subject
Jeff Ross and Sal Iacono,"If you're stranded in the wilderness, a solar still would be most useful for which of these survival-related purposes?",in-situ
Jeff Ross and Sal Iacono,"What slang term for ""the person in charge"" became part of our national lingo after it was used by one of Richard Nixon's aides on the Watergate tapes?",wh-subject
Jeff Siehl,In which of these cities would you find the Empire State Building?,ex-situ
Jeff Siehl,How many zeros are in one million?,wh-subject
Jeff Siehl,"""Jack Sprat could eat no fat"", what could his wife not eat?",ex-situ
Jeff Siehl,What mythical creature is also known as the Abominable Snowman?,wh-subject
Jeff Siehl,What mail delivery service used horses to relay mail between Missouri and California in the 1860s?,wh-subject
Jeff Siehl,"Former Filipino first lady Imelda Marcos made waves in the media for reportedly owning 3,000 pairs of what?",in-situ
Jeff Siehl,Which character is featured in advertisements promoting Colombian coffee?,wh-subject
Jeff Siehl,Which of the following plants has the ability to capture and digest insects?,wh-subject
Jeff Siehl,The Hoover Dam is on what U.S. river?,in-situ
Jeff Siehl,Which of these artists created celebrated paintings of ballet dancers in rehearsal?,wh-subject
Jeff Siehl,Which of the following Walt Disney characters was created without a speaking voice?,wh-subject
Jeff Siehl,"Including tentacles, how many arms does a squid usually have?",wh-subject
Jeff Wilkie,"In ""Arabian Nights,"" what password did Ali Baba use to enter the magic cave?",ex-situ
Jeff Wilkie,"In most American cities, what three-digit number is designated for emergency calls?",wh-subject
Jeff Wilkie,Which of the following is not a member of the legendary Kennedy Family?,wh-subject
Jeff Wilkie,"What spokesperson implores ""Please don't squeeze the Charmin!""?",wh-subject
Jeff Wilkie,"If you like dogs and ""vice versa,"" which of the following is definitely true?",wh-subject
Jeff Wilkie,"What is the subject of the 1979 film, ""The China Syndrome""?",wh-subject
Jeff Wilkie,For what successful pop group was Peter Gabriel once the lead singer?,ex-situ
Jeff Wilkie,Who shot President Reagan in 1981?,wh-subject
Jeff Wilkie,In what state was the transcontinental railroad completed in 1869?,ex-situ
Jeff Wilkie,"What was the name of Richie Cunningham's seldomly seen older brother on ""Happy Days""?",wh-subject
Jeff Wilkie,What was the familial relationship between former Presidents Franklin and Theodore Roosevelt?,wh-subject
Jeff Wilkie,What science fiction author is credited with the idea of orbiting communications satellites?,wh-subject
Jeffrey Fijolek,"As seen on a popular T-shirt, what comes at the end of the bad pick-up line, “Are you a beaver”?",wh-subject
Jeffrey Fijolek,Good news for hipsters: a recent study shows that sporting a what can protect you from harmful UV rays?,in-situ
Jeffrey Fijolek,"According to the San Diego Zoo, if you want to tell the difference between a seal and a sea lion, you should do what?",in-situ
Jeffrey Fijolek,"Our weatherman isn’t just making up words when he predicts a williwaw, which is a type of what?",in-situ
Jeffrey Fijolek,"If you give your Shih Tzu “shiatsu,” what are you doing to your tiny dog?",ex-situ
Jeffrey Fijolek,"While generally photographed with the desert in the background, the Great Sphinx of Giza faces what, lying less than a quarter-mile away?",in-situ
Jeffrey Price,"What breakfast food did comedian Mitch Hedberg liken to ""pancakes with syrup traps""?",ex-situ
Jeffrey Price,"The best-seller ""The Girl with the Dragon Tattoo"" was originally published in Sweden under a title that translates as what?",in-situ
Jeffrey Price,"Though he still tours playing The Who classics, what former frontman owns a trout fishery in East Sussex, England?",wh-subject
Jeffrey Price,"Recently making large finds in the city of Tanis, scientists are using satellite images from space to discover hidden what?",in-situ
Jeffrey Price,Who is the only person currently featured on the front of U.S. paper currency whose portrait faces to the left?,wh-subject
Jeffrey Price,"In a 2011 Washington Post obit, what game's co-creator was described as ""standing (a number) feet tall with a gray (body part)""?",wh-subject
Jehan Shamsid-Deen,"By definition, which of the following would a ""UFOlogist"" be most interested in studying?",ex-situ
Jehan Shamsid-Deen,"Long legs and large, symmetrical humps are two things judges look for at an annual Middle East ""beauty pageant"" for what animals?",in-situ
Jehan Shamsid-Deen,"In 1943, a Chicago restaurant claims to have invented the ""deep dish"" version of what popular food?",in-situ
Jehan Shamsid-Deen,"In its credits, what Academy Award winner for Best Picture lists a dog named ""Butkus Stallone""?",wh-subject
Jehan Shamsid-Deen,"In 2009, an FDA advisory panel recommended a ban on Percocet and Vicodin, two best-selling prescription what?",in-situ
Jehan Shamsid-Deen,"A thin, flaky pastry used for desserts in its native cuisine, phyllo means ""leaf"" in what language?",in-situ
Jehan Shamsid-Deen,"What football icon lends his name to one of the top-selling video game franchises of all time, with over seventy million copies sold?",wh-subject
Jehan Shamsid-Deen,"A U.S. president and an actress from the TV series ""The Golden Girls"" share what surname?",in-situ
Jehan Shamsid-Deen,"What reality TV star topped the bestseller lists in 2009 with ""L.A. Candy,"" her young-adult novel about a girl on a reality show?",wh-subject
Jehan Shamsid-Deen,YouTube sensation Tay Zonday is better known by which of these nicknames?,in-situ
Jehan Shamsid-Deen,What is a dugong?,wh-subject
Jehan Shamsid-Deen,"Hospital MRI machines are calibrated by their magnetic flux density, which is measured in units named for what scientist?",in-situ
Jehan Shamsid-Deen,"Which of these classic novels was written after the author's brother bet him he couldn't write a better-selling novel than ""Treasure Island""?",wh-subject
Jehan Shamsid-Deen,The only woman ever to be awarded the Medal of Honor received it for her service in what war?,in-situ
Jehan Shamsid-Deen,"A rare example of a word that rhymes with ""orange,"" the Blorenge is a what?",in-situ
Jen Fitzgerald,Which of the following is one of South Dakota's nicknames?,wh-subject
Jen Fitzgerald,Which of the following is a common idiom that describes the act of accepting something that is difficult to believe?,wh-subject
Jen Fitzgerald,Which of these famous American poems mentions the Massachusetts towns of Lexington and Concord?,wh-subject
Jen Fitzgerald,High fructose corn syrup is commonly used in foods as a substitute for what ingredient?,in-situ
Jen Fitzgerald,"Born in 1933, Harold Jenkins assumed the town names of Conway, AR and Twitty, TX before gaining fame as a what?",in-situ
Jen Fitzgerald,"One of the most visible members of the Obama Administration, Robert Gibbs holds what White House post?",in-situ
Jen Fitzgerald,"Forensic odontology, which plays a key role in many crime scene investigations, involves the examination of what kind of evidence?",in-situ
Jen Fitzgerald,"All of the following words were added to Merriam-Webster's Collegiate Dictionary in 2009, except for which word added in 2008?",in-situ
Jen Glomski,Smoking and excessive consumption of dark-colored beverages are two common causes of what cosmetic nuisance?,in-situ
Jen Glomski,"For many years, Red Lobster restaurants advertised with the slogan ""For the"" what ""lover in you""?",in-situ
Jen Glomski,"Which kind of animal is Peck, a character on the Nickelodeon animated show ""Back at the Barnyard""?",wh-subject
Jen Glomski,Which of these items is typically sold in pre-pasted and self-adhesive varieties?,wh-subject
Jen Glomski,"Created in 1802, the Légion d'honneur is the highest civilian decoration awarded by what country's government?",in-situ
Jen Glomski,"Before becoming a rock legend, '60s guitarist James Hendrix changed the spelling of his first name to what?",in-situ
Jen Glomski,"In a formal place setting, where should a wine glass be positioned relative to the plate?",ex-situ
Jen Glomski,"What does the ""F"" stand for in the name of the cable channel IFC?",ex-situ
Jen Glomski,"Perhaps because it ""hangs"" off southern Asia like a jewel, the island nation of Sri Lanka is often called the ""Pearl of the"" what?",in-situ
Jen Glomski,"Just as it plays ""Hail to the Chief"" for the President, the U.S. Army Band commonly plays the song ""Hail Columbia"" to honor whom?",in-situ
Jen Glomski,"To a winemaker, a ""bung"" is a what?",in-situ
Jen Glomski,"Often compared to the Champs-Elysees, what European city has a prominent avenue referred to by locals as ""The Ku'Damm""?",wh-subject
Jen Vine,"Which of these children's songs features the well-known line ""And you shake it all about""?",wh-subject
Jen Vine,"According to a well-known expression, a person turns what color ""with envy""?",in-situ
Jen Vine,"Which of these words is slang for ""a left-handed person""?",wh-subject
Jen Vine,Angina pectoris is a type of pain caused by the insufficient supply of blood to what organ?,in-situ
Jenice Diaz,"A massive man-made forest known as ""The Great Green Wall"" was planted in which of the following countries?",in-situ
Jenice Diaz,"To support its local industry, Wisconsin law bans restaurants from serving what unless it is specifically requested by customers?",in-situ
Jenice Diaz,"""Have a nice trip, see you next Fall"" is a joke that can be used when a person witnesses someone doing what?",in-situ
Jenice Diaz,"When driving the 948 mile route from Blue Ball, PA to Climax, GA, one would go through all but which of these states?",in-situ
Jenice Diaz,"Known also as ""petrified lightning,"" fulgurites are hollow, glass-lined tubes often left behind when lightning strikes what?",in-situ
Jenifer Leskawa,"According to a popular piece of advice, you should ""never mix business with"" what?",in-situ
Jenifer Leskawa,"""Hands-free"" kits are commonly available for which of the following devices?",in-situ
Jenifer Leskawa,"A person who is under a lot of pressure is said to have ""the weight of the"" what ""on his shoulders""?",in-situ
Jenifer Leskawa,A wet suit is normally worn during which of these outdoor activities?,in-situ
Jenifer Leskawa,"In the U.S., a triangle made up of three arrows ""chasing"" each other is a symbol for what?",in-situ
Jenifer Leskawa,A hilt is the handle of which of the following?,in-situ
Jenifer Leskawa,"At a traditional clambake, seafood is baked on hot rocks that are covered with what?",in-situ
Jenifer Leskawa,The Genie Company is best known for its line of products that do what?,in-situ
Jenifer Leskawa,"In the classic children's book ""Are You My Mother?"", what animal looks for his mother?",wh-subject
Jenifer Leskawa,The joule is a unit of measurement used to determine what?,in-situ
Jenifer Leskawa,"The 2001 movie ""Serendipity"" features a couple who meet when they try to do what?",in-situ
Jenn Javan,Escape to Chimp Eden and Orangutan Island are two shows that air on what TV network?,in-situ
Jenn Javan,"Many people experience the euphoric feeling known as ""runner's high"" after engaging in which of these activities?",in-situ
Jenn Javan,"Which of these beauty products is sometimes referred to as a ""detangler""?",wh-subject
Jenn Javan,"In July, what season is it in Argentina?",wh-subject
Jenn Javan,"In 2008, Billy Crystal joked ""I'm the D.H. -- designated Hebrew"" when he played in an exhibition game for what pro team?",in-situ
Jenn Javan,Which of these famous movie quotes was delivered by a child and not an adult?,wh-subject
Jenn Javan,"In 2008, the International Astronomical Union introduced what official term for certain dwarf planets?",in-situ
Jenn Javan,"The title of Lauren Weisberger's 2008 novel ""Chasing Harry Winston"" features the name of a famous what?",in-situ
Jenn Javan,"In 2007, mogul Rupert Murdoch paid $5 billion to buy Dow Jones, the company that owns what newspaper?",in-situ
Jenn Javan,A statue of the Hans Christian Anderson character the Little Mermaid greets visitors to the harbor of what European city?,in-situ
Jenn Vogel,"Traditionally uttered with the hand over the heart, a well-known recitation begins, ""I pledge allegiance to the"" what?",in-situ
Jenn Vogel,"In Texas, a cowboy who dies is often said to have gone to ""the big ranch in the"" what?",in-situ
Jenn Vogel,"In 2008, Slate Magazine published an online article titled ""Meatless Like Me"" that explored what topic?",in-situ
Jenn Vogel,"At Denny's restaurants, what menu item promises to be ""covered in our velvety brown gravy""?",wh-subject
Jenn Vogel,"The aptly titled memoir ""Many Unhappy Returns"" was written by a former commissioner of what government agency?",in-situ
Jenn Vogel,"In addition to golf, which of these professional sports also hosts a well-known championship event called the ""U.S. Open""?",wh-subject
Jenn Vogel,"What song from ""The Sound of Music"" features the memorable lyric ""Wild geese that fly with the moon on their wings""?",wh-subject
Jenn Vogel,Which of these produce items is known for having high levels of lycopene?,wh-subject
Jenn Vogel,"Gaining fame as Dr. Joel Fleischman on ""Northern Exposure,"" Rob Morrow currently plays federal agent Den Eppes on what show?",in-situ
Jenn Vogel,"Roughly equal to $130,000, one million rand is the top prize in what country's version of ""Who Wants to Be a Millionaire""?",in-situ
Jenna Fletcher,Which of these types of weather is an example of precipitation?,wh-subject
Jenna Fletcher,"In a leap year, February has a total of how many days?",in-situ
Jenna Fletcher,"According to a classic advertising jingle, what toys ""wobble but they don't fall down""?",wh-subject
Jenna Fletcher,"According to U.S. safety standards, which of these appliances should stop working when its door is open?",wh-subject
Jenna Fletcher,"Colleges commonly offer ""early decision"" programs for students who want to do what ahead of time?",in-situ
Jenna Fletcher,"In 2004, what specialty magazine introduced a puzzle for its readers titled ""Run This Rack""?",wh-subject
Jenna Fletcher,"Which of these berries is a compound fruit that consists of clusters of tiny fruits called ""drupelets""?",wh-subject
Jenna Fletcher,"According to legend, Galileo insisted ""And yet it moves!"" in defense of his views on the movement of what?",in-situ
Jenna Fletcher,"Which of these musical instruments are also known as ""tubular bells""?",wh-subject
Jenna Fletcher,"Indigenous to the Kalahari desert, what plant is the main ingredient of Trimspa and many other diet supplements?",wh-subject
Jennifer Collins,"Used to help soldiers become familiar with enemy aircraft, what children's toy was popular with the U.S. military in WWII?",wh-subject
Jennifer Collins,"To prove to their guests that their rooms have been cleaned, many hotels have their maids fold what into a V-shape?",in-situ
Jennifer Collins,"""I made it out of clay"" is a lyric in a popular Hanukkah song commonly known as what?",in-situ
Jennifer Collins,What famous landmark offers visitors the chance to toboggan down one side of it?,wh-subject
Jennifer Collins,"In ""The Wizard of Oz,"" the wizard attempts to take Dorothy home in a hot air balloon that is prominently labeled what?",in-situ
Jennifer Collins,"In France, window shopping is known as ""faire du lèche-vitrine,"" which literally means ""to go"" what?",in-situ
Jennifer English,"What sport begins play a ""jump ball"" at the center of the court?",wh-subject
Jennifer English,King corbas are what kind of animal?,in-situ
Jennifer English,"The musical ""West Side Story"" is set on the west side of what U.S. city?",in-situ
